No	Name	Latitude	Longitude	Radius	Utils	AR	A	B
1	나비	37.543972500000	127.042308000000	25	butterfly	TRUE	-1	-1
2	북극곰	37.545014300000	127.040589000000	25	bear	TRUE	-1	-1
3	고래	37.545125700000	127.039861500000	25	whale	TRUE	-1	-1
4	거북이	37.545017000000	127.039222400000	25	turtle	TRUE	-1	-1
5	튤립	37.543952100000	127.039843400000	25	tulip	TRUE	-1	-1
6	입구1	37.542670000000	127.042150000000	40	gate1	FALSE	-1	-1
7	입구2	37.543875000000	127.042682000000	40	gate2	FALSE	-1	-1
8	입구3	37.545023000000	127.043188000000	40	gate3	FALSE	-1	-1
9	입구4	37.546511000000	127.041468000000	40	gate4	FALSE	-1	-1
10	입구5	37.547134000000	127.039394000000	40	gate5	FALSE	-1	-1
11	입구9	37.544039000000	127.036540000000	40	gate9	FALSE	-1	-1
12	입구15	37.541857000000	127.043277000000	40	gate15	FALSE	-1	-1
13	입구16	37.542188000000	127.041946000000	40	gate16	FALSE	-1	-1
14	화장실1	37.543061000000	127.041789000000	40	restroom	FALSE	-1	-1
15	화장실2	37.546069000000	127.041405000000	40	restroom	FALSE		-1
16	화장실3	37.544681000000	127.037897000000	40	restroom	FALSE	-1	-1
17	화장실4	37.543338000000	127.039575000000	40	restroom	FALSE	-1	-1
18	급수대1	37.543061000000	127.041789000000	40	water	FALSE		-1
19	급수대2	37.545192000000	127.041958000000	40	water	FALSE		
20	급수대3	37.546054000000	127.040836000000	40	water	FALSE		-1
21	급수대4	37.546438000000	127.039256000000	40	water	FALSE	-1	
22	급수대5	37.543447000000	127.039555000000	40	water	FALSE	-1	-1
23	급수대6	37.543697000000	127.040250000000	40	water	FALSE	-1	-1
24	안내소1	37.543061000000	127.041789000000	40	info	FALSE		
25	안내소2	37.544891000000	127.042923000000	40	info	FALSE		
26	수유실1	37.543061000000	127.041789000000	40	nursingroom	FALSE	-1	
27	수유실2	37.544681000000	127.037897000000	40	nursingroom	FALSE	-1	
28	의료실1	37.543061000000	127.041789000000	40	medical	FALSE		
29	유모차대여소1	37.543061000000	127.041789000000	40	stroller	FALSE	-1	
30	카트대여소1	37.543061000000	127.041789000000	40	cart	FALSE		
31	휴지통1	37.546069000000	127.041405000000	40	trashcan	FALSE		
32	휴지통2	37.545699000000	127.038801000000	40	trashcan	FALSE	-1	-1
33	휴지통3	37.545172000000	127.041072000000	40	trashcan	FALSE	-1	-1
34	휴지통4	37.544791000000	127.042248000000	40	trashcan	FALSE		
35	휴지통5	37.544579000000	127.042733000000	40	trashcan	FALSE		
36	휴지통6	37.545046000000	127.038776000000	40	trashcan	FALSE	-1	-1
37	휴지통7	37.544583000000	127.039954000000	40	trashcan	FALSE	-1	-1
38	휴지통8	37.544632000000	127.040962000000	40	trashcan	FALSE	-1	-1
39	휴지통9	37.544105000000	127.041152000000	40	trashcan	FALSE		-1
40	휴지통10	37.544031000000	127.041927000000	40	trashcan	FALSE		-1
41	휴지통11	37.544690000000	127.037510000000	40	trashcan	FALSE		-1
42	휴지통12	37.543689000000	127.038891000000	40	trashcan	FALSE	-1	-1
43	휴지통13	37.543400000000	127.039563000000	40	trashcan	FALSE	-1	-1
44	휴지통14	37.543395000000	127.040302000000	40	trashcan	FALSE	-1	-1
45	휴지통15	37.543943000000	127.040420000000	40	trashcan	FALSE	-1	-1
46	휴지통16	37.543357000000	127.041191000000	40	trashcan	FALSE	-1	-1
47	휴지통17	37.543061000000	127.041789000000	40	trashcan	FALSE	-1	-1
48	어린이정원	37.545831000000	127.038346000000	40	childrengarden	FALSE	6	
49	메타세콰이어길	37.545779000000	127.039907000000	40	metastreet	FALSE	5	5
50	도시락정원	37.545342000000	127.040747000000	40	lunchgarden	FALSE	4	
51	가족마당	37.545091000000	127.039456000000	40	familyyard	FALSE	7	6
52	바닥분수	37.544149000000	127.041725000000	40	floorfountain	FALSE	3	2
53	거울연못	37.544226000000	127.041002000000	40	winterpond	FALSE	2	4
54	모래놀이터	37.544054000000	127.040429000000	40	sandplayground	FALSE	1	
55	물놀이터	37.543909000000	127.039372000000	40	waterplayground	FALSE	8	
56	숲속놀이터	37.543422000000	127.039329000000	40	forestplayground	FALSE	9	
57	방문자센터	37.543061000000	127.041789000000	40	visitorcenter	FALSE	0	0
59	은행나무숲	37.545335000000	127.037120000000	40	ginkgoforest	FALSE		7
60	수변쉼터	37.544382000000	127.038185000000	40	watersideshelter	FALSE		8
61	설렘정원	37.543282000000	127.040749000000	40	excitementgarden	FALSE		9
62	조각정원	37.544424000000	127.041080000000	40	sculpturegarden	FALSE		3
63	군마상	37.544036000000	127.042121000000	40	warhorse	FALSE		1
64	서울숲카페거리	37.547113000000	127.040614000000	40	cafestreet	FALSE		
